year,Personal Income(in $million),Permit,MSACSR,TLRESCONS,EVACANTUSQ176N,INTDSRUSM193N,UMCSENT,GDP,MORTGAGE15US,MSPUS,price_index
2003-Q1,5.03,1377.333333,4.2,421328.6667,14908,2.25,79.96666667,11174.129,5.204615385,186000,129.3213333
2003-Q2,5.1,1413.666667,3.833333333,429308.6667,15244,2.166666667,89.26666667,11312.766,4.867692308,191800,131.756
2003-Q3,5.17,1510.666667,3.633333333,458890,15614,2,89.3,11566.669,5.356923077,191900,135.0133333
2003-Q4,5.26,1542.666667,3.966666667,491437.3333,15654,2,91.96666667,11772.234,5.256153846,198800,138.8346667
2004-Q1,5.27,1583.666667,3.7,506856.3333,15895,2,98,11923.447,4.872727273,212700,143.299
2004-Q2,5.38,1635.666667,3.9,526483.3333,16079,2.083333333,93.33333333,12112.815,5.46,217600,148.2096667
2004-Q3,5.49,1605,4.3,552939,15656,2.5,95.6,12305.307,5.291428571,213500,152.7166667
2004-Q4,5.54,1592.666667,4.1,561413.3333,15361,3,93.86666667,12527.214,5.145384615,228800,157.5356667
2005-Q1,5.57,1621.333333,4.266666667,590790.3333,15748,3.5,94.06666667,12767.286,5.277692308,232500,163.4813333
2005-Q2,5.64,1660.333333,4.266666667,611957,16061,4,90.2,12922.656,5.276153846,233700,169.3473333
2005-Q3,5.74,1745.333333,4.466666667,642273.6667,15883,4.5,87.5,13142.642,5.346153846,236400,174.58
2005-Q4,5.81,1711,4.8,670433,15823,5,82.43333333,13324.204,5.771538462,243600,179.5393333
2006-Q1,5.97,1627.666667,5.766666667,680067.3333,16234,5.583333333,88.93333333,13599.16,5.855384615,247700,183.324
2006-Q2,6.01,1446.333333,6.266666667,639389,16513,6,83.8,13753.424,6.228461538,246300,183.9973333
2006-Q3,6.06,1269,6.9,591320.6667,16769,6.25,84.03333333,13870.188,6.22,235600,182.82
2006-Q4,6.18,1178.666667,6.8,558263.6667,16894,6.25,92.46666667,14039.56,5.961538462,245400,183.6486667
2007-Q1,6.34,1152.333333,7.666666667,539003.6667,17724,6.25,92.2,14215.651,5.950769231,257400,184.4216667
2007-Q2,6.37,1031.666667,7.8,521924,17547,6.25,86.9,14402.082,6.056153846,242200,181.6213333
2007-Q3,6.4,916.3333333,8.9,488432.3333,18049,5.75,85.73333333,14564.117,6.215384615,241800,178.2616667
2007-Q4,6.47,786,9.166666667,439296,17910,4.916666667,77.5,14715.058,5.878461538,238400,175.371
2008-Q1,6.54,567.4166667,9.833333333,400027.3333,18642,3.166666667,72.9,14706.538,5.375384615,233900,171.5753333
